Color,Code,Shade
Rosewood Metallic,#694E4E,Brown
Rosso Scuderia,#E12C2C,Red
Royal Blue,#0C5E98,Blue
Royal Blue Metallic,#274059,Blue
Royal Purple( Lilac),#5D3F6C,Purple
Rubin Red,#9B3346,Red
Ruby Star Neo,#c90d7b,Pink
Ruby Red,#C12020,Red
Ruby Red Metallic,#AB2A2A,Red
Rubystar,#D70769,Pink
Ruby Stone,#CD2761,Pink
Sable Brown,#534138,Brown
Saffron Yellow Metallic,#DFD942,Yellow
Sahara Beige,#FEEAAC,Beige
Salmon Metallic,#B8725F,Red
San Marino Blue Metallic,#2B01B4,Blue
Sand Beige,#D8C193,Beige
Sand Grey,#DEDEDD,Grey
Sand White,#F6F4F4,White
Sand Yellow,#FFD053,Yellow
Sapphire Blue Metallic,#0f87cf,Blue
Sapphire Metallic,#BEBEBE,Blue
Satin Black Metallic,#444444,Black
Saturn Yellow,#eefb93,Yellow
Scarlet Red,#E12F1D,Red
Schiefer,#A6C3CD,Blue
Sea Green,#C0DDC1,Green
Seal Grey Metallic,#474343,Grey
Sepia Brown,#905508,Brown
Shark Blue,#2491e4,Blue
Sienna Metallic,#D6432B,Red
Sienna Red Metallic,#761A02,Red
Signal Green,#47CB7C,Green
Signal Orange,#FF8A00,Orange
Signal Red,#F21717,Red
Signal Yellow,#FFC601,Yellow
Silver,#F1F1F1,Silver
Silver Metallic,#E9E9E9,Silver
Silver Rose,#F6E7E7,Pink
Sky Blue,#4297C8,Blue
Slate Blue Metallic,#a3aebe,Blue
Slate Grey,#707070,Grey
Slate Grey Metallic,#707070,Grey
Smyrna Green,#59c5a0,Green
Speedster Blue,#1168B3,Blue
Speed Yellow,#ffde00,Yellow
Sports Classic Grey,#DAE1E1,Grey
Steel Blue Metallic,#46556D,Blue
Stone Grey,#C2BE81,Grey
Stone Grey Metallic,#B5BCBF,Grey
Strawberry Red,#E40808,Red
Summer Yellow,#E7F667,Yellow
Summer Yellow Early,#f6c810,Yellow
Sunflower Yellow,#f6da32,Yellow
Superior Red Metallic,#1e0303,Red
Surinam Red Metallic,#961212,Red
Tahoe Blue Metallic,#2A87C8,Blue
Talbot Yellow,#FFD955,Yellow
Tangerine,#ff5f27,Orange
Teal Blue Metallic,#2146B1,Blue
Terra Grey Metallic,#A0A0A0,Grey
Terra Cotta,#DFA687,Brown
Titanium,#504F4F,Silver
Titanium Silver Metallic,#DBDBDB,Silver
Titan Metallic,#6A6161,Brown
Tobacco Metallic,#816F43,Brown
Togo Brown,#3C1F0C,Brown
Topaz Brown Metallic,#E6DCC4,Brown
Truffle Brown Metallic,#5A341A,Brown
Turkey Green,#56cfa9,Green
Turkish Red,#B80D0D,Red
Turmalin Green Metallic,#2D8092,Green
Turquoise,#72C7CE,Blue
Turquoise Blue,#0A6EF5,Blue
Turquoise Green,#56B88E,Green
Turquoise Metallic,#236D88,Blue
Ultra Blue,#093282,Blue
Ultraviolet,#62416B,Purple
Umbra,#9D8573,Brown
Umbra Metallic,#CECCCC,Silver
Underberg Green,#19580d,Green
Urban Bamboo Chromaflair,#A2A590,White
Velvet Purple Metallic,#482480,Purple
Velvet Red Metallic,#CA1642,Red
Venetian Blue Metallic,#054468,Blue
Venice Blue Metallic,#8A9FAA,Blue
Vesuvio Metallic,#554351,Purple
Vesuvius Grey Metallic,#6E6C65,Grey
Viola Purple Metallic,#6335C6,Purple
Viola Metallic,#170424,Purple
Violet Blue Metallic,#A478C6,Purple
Violet Chromaflair,#120313,Purple
Volcano Grey Metallic,#444343,Grey
Voodoo Blue,#2982e0,Blue
White,#FFFFFF,White
White Gold Metallic,#CDCAC0,Gold
Willow Green,#8CC757,Green
Wimbledon Green Metallic,#5CA190,Green
Wine Red Metallic,#C02E16,Red
Yatching Blue Metallic,#245E8A,Blue
Zambezi Green,#1D8550,Green
Zanzibar Red,#D9401C,Red
Zenith Blue Metallic,#565db0,Blue
Zermatt Metallic,#91A499,Green
Zermatt Silver,#F4F8F4,Silver
Zermatt Silver Metallic,#EBEAE1,Silver
Zinc Metallic,#E5E5E5,Silver
Zyclam- Red Pearl Effect,#5C072B,Red
