Color,Code,Shade,Lightness
Aztec Silver,#DEDCDA,Silver,0.862745098
G T Silver Metallic,#e0e0e0,Silver,0.878431373
Arctic Silver Metallic,#E1E1E1,Silver,0.882352941
Zinc Metallic,#E5E5E5,Silver,0.898039216
Zermatt Silver Metallic,#EBEAE1,Silver,0.901960784
Crystal Silver,#E6E8E8,Silver,0.905882353
Crystal Silver Metallic,#E9E9E7,Silver,0.909803922
Rhodium Silver Metallic,#EAE8E8,Silver,0.91372549
Silver Metallic,#E9E9E9,Silver,0.91372549
Classic Silver Metallic,#ECE9E9,Silver,0.919607843
G T Silver,#EFF0F0,Silver,0.939215686
Silver,#F1F1F1,Silver,0.945098039
Zermatt Silver,#F4F8F4,Silver,0.964705882
Dolomite Silver Metallic,#F9F9FC,Silver,0.982352941
Urban Bamboo Chromaflair,#A2A590,White,0.605882353
Grigio Telesto Pearl,#B5BABC,White,0.723529412
Palladium Metallic,#E0CFB3,White,0.790196078
Glacier White ( Vintage),#D5E4BE,White,0.819607843
Flamingo Metallic,#E1DDC7,White,0.831372549
Hellelfenbein,#E9E8C2,White,0.837254902
Ivory,#E2E2D7,White,0.864705882
Chalk,#E1DEDE,White,0.876470588
Linen Metallic,#F3F3D7,White,0.898039216
Moonstone,#E9E0EA,White,0.898039216
Chiffon White,#f0efe3,White,0.915686275
Carrara White,#EAEAEA,White,0.917647059
Medium Ivory,#F1F2E5,White,0.923529412
Light Ivory,#f0f0f0,White,0.941176471
Pearl White Metallic,#F2F2EE,White,0.941176471
Cream White,#F4F4F0,White,0.949019608
Oryx White Pearl,#f2f2f2,White,0.949019608
Polar White,#F1F5F6,White,0.954901961
Sand White,#F6F4F4,White,0.960784314
Alpine White,#f6f6f6,White,0.964705882
Glacier White Metallic,#F7F7F7,White,0.968627451
Biarritz White,#F9F7F7,White,0.97254902
Glacier White,#F9F9F9,White,0.976470588
Grand Prix White,#FBFFFF,White,0.992156863
Carrara White Metallic,#FFFFFF,White,1
Pure White,#FFFFFF,White,1
White,#FFFFFF,White,1
Imola Yellow,#D7C317,Yellow,0.466666667
Bahama Yellow,#f2a501,Yellow,0.476470588
Racing Yellow,#F4F100,Yellow,0.478431373
Speed Yellow,#ffde00,Yellow,0.5
Signal Yellow,#FFC601,Yellow,0.501960784
Chrome Yellow,#F5F20C,Yellow,0.503921569
Golden Yellow Metallic,#e7b01a,Yellow,0.503921569
Summer Yellow Early,#f6c810,Yellow,0.51372549
Berber Yellow,#D7D532,Yellow,0.519607843
Saffron Yellow Metallic,#DFD942,Yellow,0.566666667
Rally Yellow,#ECD438,Yellow,0.57254902
Sunflower Yellow,#f6da32,Yellow,0.580392157
Fayence Yellow,#FFF332,Yellow,0.598039216
Ferrari Yellow,#fbe746,Yellow,0.629411765
Sand Yellow,#FFD053,Yellow,0.662745098
Talbot Yellow,#FFD955,Yellow,0.666666667
Summer Yellow,#E7F667,Yellow,0.684313725
Lemon( Canary) Yellow,#FEF56A,Yellow,0.705882353
Saturn Yellow,#eefb93,Yellow,0.780392157
Condor Yellow,#EDEDA9,Yellow,0.796078431
Pasadena Yellow,#ffe599,Yellow,0.8
Light Yellow,#f7ff9e,Yellow,0.809803922
Pastel Yellow,#fff4a7,Yellow,0.82745098
Champagne Yellow,#F5EAB7,Yellow,0.839215686
Pale Yellow,#F9FFC9,Yellow,0.894117647
